ptx,pty,docIds,idShort,title,pubDate,category,terms1,stems,firms,keywordsFound
-12.93482728,2.595311832,1647554839_0442195,134,Architecture_mobile-retail,12/4/2019,Architecture,united;merchandise;tiny;next;charles;trailer;video;set;grid-independent,unit;merchandis;tini;row;charl;trailer;workout;one-off;grid-independ,,solar;wind
2.476461825,-3.995679549,1647554860_440267,135,Architecture_most-innovative-architecture,12/21/2016,Architecture,via;hubs;mercedes-benz;atlanta;philadelphia;protein;disused;starter;jonathan;jeddah;cricket;york,via;hub;mercedes-benz;atlanta;philadelphia;protein;disus;starter;jonathan;jeddah;cricket;beset,hok,solar;solar energy
-2.295047078,17.58934143,1647554830_4660945,136,Architecture_museum-of-the-future,2/22/2022,Architecture,complex;future;dubai;museum;futuristic;burohappold;killa;scan;thinkers;uae;calligraphy,complex;futur;dubai;museum;futurist;burohappold;killa;repositori;thinker;uae;calligraphi,think architecture,bim;photovoltaics
-12.59691533,37.09259896,1647554833_3443797,137,Architecture_national-veterans-memorial-and-museum,11/8/2018,Architecture,concrete;memory;shapes;exhibiting;undulating;veteran;columbus;ralph;glenn;many;olin;space,concret;memori;curv;exhibit;undul;veteran;columbu;ralph;glenn;alli;olin;contempl,,bim
18.84489502,-12.44865437,1647554822_2612672,138,Architecture_naval-architecture,6/7/2016,Architecture,aboard,aboard,,
12.90734005,-34.49505397,1647812920_9351473,139,Architecture_net-zero-buildings,2/21/2019,Architecture,shade;wings;benchmarking;ketner,shade;wing;benchmark;ketner,,renewable energy;green design;net zero;solar;wind
1.222603868,-6.609008417,1647554813_0384815,140,Architecture_nordic-architecture,3/18/2021,Architecture,trial;wooden;dark;healing;warmth;public-sector;sweden’s;eschewing;greenland;prison;iceland;nordic;therapeutic;gothenburg,trial;wooden;dark;heal;warmth;public-sector;sweden;eschew;greenland;prison;iceland;nordic;therapeut;gothenburg,white arkitekter,bim;social;wind
2.196353381,2.592968495,1647554880_9825785,141,Architecture_norway-sustainable-development,7/1/2021,Architecture,topped;district;opera;oslo;cantilevers;bright;triangular;track;going;regenerate;underlying;colossal;rose;atriums;triangle;purchased;shards;overhanging;sightline,top;district;opera;oslo;cantilev;bright;triangular;librari;strike;regener;underli;coloss;pane;atrium;triangl;five-stori;shard;overhang;sightlin,,passive house;bim;environmental;greenhouse gas emissions
-43.6165482,-41.44345976,1647554845_143821,142,Architecture_office-building-design,1/6/2021,Architecture,officer;thompson;lecturer;fooling;airflow;garcia,offic;thompson;lectur;fool;airflow;garcia,,social
18.89370274,2.844821177,1647554827_2877493,143,Architecture_old-new-architecture,12/15/2016,Architecture,three-story;victorian;smith;director;mansion,three-stori;victorian;smith;woodwork;mansion,,
-12.77151872,43.23234587,1647554832_7604043,144,Architecture_one-mans-limited-sight-gives-limitless-vision-virtual-reality-design,9/11/2018,Architecture,queen;paintings;scenes;imperfections;tomb,queen;paint;scene;imperfect;tomb,,
10.61871864,-8.160504529,1647554842_3840444,145,Architecture_online-architecture-work-from-home,7/8/2020,Architecture,working;home;everyone;family;officer;remote;monday;patty;camaraderie;newfound;in-office;openscope,work;home;everyon;friday;offic;remot;monday;patti;camaraderi;newfound;in-offic;openscop,,bim;wind;social
5.318389136,11.1235238,1647554880_0138192,146,Architecture_passive-house-design,3/25/2021,Architecture,residential;well;house;enclosed;center;criteria;high-rise;heat;bim;air;passive;fresh;millennium;called;thermal;triple-glazed;t-shape;no-touch,residenti;well;hous;envelop;center;criteria;high-ris;heat;standard;air;passiv;fresh;millennium;performance-bas;thermal;triple-glaz;t-shape;no-touch,handel architects,passive house;environmental;sustainable development;green design;air quality
-13.40783036,21.40896215,1647554817_2549977,147,Architecture_pc-versus-workstation,3/19/2013,Architecture,gpus;workstations;ram;processor;downside;cpu,gpu;workstat;ram;processor;downsid;cpu,,
-27.67832583,-19.2431699,1647554856_2632766,148,Architecture_peer-rating-system,11/9/2015,Architecture,power;grid;cost;reliability;integration;kelly;gbci,power;grid;util;reliabl;peer;kelli;gbci,,solar;wind;renewable energy
-10.62427228,10.31131331,1647554848_6752083,149,Architecture_populous-architects,10/1/2021,Architecture,guess;layout;generative-design;growing;venue;expo;tiered;livestock;gardner;stall;pigs,repetit;layout;generative-design;popul;venu;expo;tier;livestock;gardner;stall;pig,populous,
-5.049181346,16.00652445,1647554868_0710058,150,Architecture_positive-energy-building,11/19/2018,Architecture,square;grant;feet;european;building;cofounding;kwh;solace;poland’s;euros,squar;grant;feet;european;meter;cofound;kwh;solac;poland;euro,,renewable energy;solar;solar energy
4.805992941,14.84202105,1647554839_2004871,151,Architecture_post-construction,12/12/2019,Architecture,feel;humid;carbon-dioxide;occupant;lmn;post-occupancy,comfort;humid;carbon-dioxid;occup;lmn;post-occup,,air quality;bim
17.96524101,-25.84796661,1647554825_7130942,152,Architecture_post-occupancy-evaluation,8/18/2016,Architecture,evaluation;users;wayfinding;signage;arup;escalators;bathroom;poe;joystick;bottleneck,evalu;user;wayfind;signag;arup;escal;bathroom;poe;joystick;bottleneck,,
-11.47102258,2.563752792,1647554820_2893832,153,Architecture_postdigital-artisans,1/18/2016,Architecture,bespoke;define;parametric;ribs;craft;craftsmanship;martin;sculpted;finally,bespok;defin;parametr;rib;craft;craftsmanship;martin;sculpt;craftsman,,
6.041635383,5.542623783,1647812564_910785,154,Architecture_preserving-brazils-ipiranga-museum,9/7/2021,Architecture,surrounding;paulo;brazil;museum;landmarks;palaces;copying;eclectic;lima,surround;paulo;brazil;museum;landmark;palac;copi;eclect;lima,,bim
-17.40430713,-16.48122959,1647554822_5268962,155,Architecture_preserving-old-school-architecture,6/14/2016,Architecture,drawings;hand;relationships;sketch;tear;pencils;formit;ambient;old-school,draw;hand;relationship;sketch;tear;pencil;formit;pleasur;old-school,,bim
20.55977785,-25.14818188,1647813199_8513808,156,Architecture_project-h-makers,5/14/2015,Architecture,summer;maker;class;tiny;camp;charter;ladder;seward,summer;maker;class;tini;camp;charter;ladder;seward,,
19.90438267,18.93239672,1647554817_3956285,157,Architecture_pssst-pass-it-on-5-costs-you-can-bill-to-clients,8/28/2013,Architecture,passed;rental;laptops;built-in;monthly;adobe,pass;rental;extra;fee;monthli;adob,,bim
-6.357866035,10.93858306,1647554835_5640254,158,Architecture_ready-player-one-vr,3/21/2019,Architecture,character;virtual;ready;assumption;problem-solving;almost;anonymous;david;inside;easter,charact;virtual;readi;assumpt;problem-solv;apocalypt;anonym;wade;evil;easter,,
